ژول,فضاپیما
سرزمین موعود,باکو
ماشین,دوچرخه
چندوجهی,بازیگر
اسکلروز چندگانه,ام‌اس
گسل,سامانه
سلاح,کلاه‌ ایمنی
نمایشنامه‌نویس,تلویزیون
سازمان ملل متحد,بان‌کی‌مون
سی‌وسه‌پل,پل ریاضی
قصر سلطنتی,موزائیک
آبرنگ,قلمو
دموکراسی,سلطنت
گاوس,دانشمند
سل,ال‌ای‌دی
خودروی خودگردان,خودروی روباتیک
آخرالزمان,آتش
سرعت,پست
پلی‌استیشن,وی
لپ‌تاپ,رایانه کیفی
هری پاتر,جادوگر
اسنوبرد,اسکی
اشاره‌گر,اسلاید
حسگر,رادیاتور
اصابت,قاب
نظریه,فرضیه
وال‌استریت,بازار مالی
داروین,تکامل
بازیگر,هنرپیشه‌
فیلم,تئاتر
سرود ملی,میهن‌دوستی
نمایشگر,مانیتور
لبنیات,عسل
کوه اورست,کومولانگما
طناب‌کشی,مار و پله
آفت‌کش,آفت
پليس,سیاستمدار
نوروسایکولوژی,فراروانشناسی
باتری,انرژی
لژیون دونور,لوازم تحریر
مرد عنکبوتی,خیابان
شبه‌جزیره,جزیره
استوا,اکوادور
چارت,گراف
شبیه‌سازی,رباتیک
نایک,آدیداس
جامعه,فرهنگ
بازی استراتژیکی,استراتژی
کلیسا,کلیسای جامع
مترجم,خارجی
بیوتوپ,بیولوژی
ماگما,آتش‌فشان
طوفان فکری,تلسکوپ
مرحله,امتیاز
پنی,معامله
حزب سیاسی,انجمن
سونامی,دریا
شترمرغ,باغ سیب
دارچین,آب‌نبات
جارو,خاک
کهکشان,منجم
آبمیوه,میلک‌شیک
کرکره,پرده
مجرم,خلافکار
سرطان لوزالمعده,شیمی‌درمانی
گذشته,پیشین
سازمان ملل متحد,پارلمان اروپا
آهنگ,مجری
تفنگ,دفتریادداشت
استیل کولین,عنبیه
الفبا,خودکار
گروه کر,خواننده
چوب,پتو
سرباز,صلح
انگلیسی,آمریکایی
مارمولک,تمساح
پول,پول نقد
پاولِ هشت‌پا,هشت‌پا
تقویم,تعطیلات
باز,ماده شیمیایی
دولت,مارمولک
ین,پولشویی
ديپ‌مایند,گوگل ديپ‌مایند
شطرنج,کیش
غزل,زیبایی
کارمند,دفتر
پول,بورس
پلی‌ستر,پنبه
محکمه,عدالت
دم,پشت
تصادف,کتاب
بوران,باد
پیانو,هارمونی
سلطان,وزارت
بیابان,تپه ماسه‌ای
ضرب,تقسیم
ویروس,خون‌
عصر یخبندان,قانون
شمشیر,محیط
مدرسه ابتدایی,مداد
کریکت,حامی
مجسمه,تندیس
مرورگر وب,موزیلا فایرفاکس
لایکا,کنون
اچ‌اس‌بی‌سی,بریتانیا
کتاب مقدس,انجیل
لباس,رقص
آرایه,لیست
سلول,زندان
انشا,تکلیف
رایانه,دستگاه
پاندا,خرس قطبی
اختلال اعصاب,ذهن
کمپین,میمون
ثابت فارادی,کوله‌پشتی
کاخ,آسمان‌خراش
هلی‌کوپتر,هواپیما
دانشگاه کمبریج,دانشگاه آکسفورد
پرچم,میله
پنجره,سقف
ورق‌بازی,فریزبی
بدافزار,کرم
سیاره,ستاره
دونده,ورزشکار
کالیبر,چتر
وای‌فای,ویکی‌لیکس
خشکسالی,آب‌
فرودگاه,قطعه
ارکستر,گروه‌موسیقی
موخیتو,موهیتو
سرفصل دروس,امتحان
قضیه,نظریه
یویو,اسباب‌بازی
کولاک,باران
مورخ,تاریخ‌نگار
زیمنس,قطار برقی
قرن,سال
آلیاژ,فولاد
دادرس,قاضی
آشفتگی,کلاس
یادگیری از راه دور,اینترنت
ماسه,پا
صندوق بین‌المللی پول,دویچه بانک
گاردین,تایمز
کرم ابریشم,راه ابریشم
آزادی,واحه
سيتوپلاسم,انگشت
پروتستان,مسیحی
لئوناردو‌دا‌وینچی,شام آخر
نقشه,مربع
پارلمان,کنگره
جذب سرمایه,توسعه
آسیب‌شناسی,خون‌شناسی
دره,فرورفتگی
تلسکوپ,صندلی
هوی متال,صحنه
جهانی‌گرایی,روادید
خفاش,خون‌آشام
جانشین,افسر
الکتریسیته,جعبه
خارجی,بیگانه
دکمه,چرخ‌خیاطی
جادوگر,کابل
فیلسوف,مسابقه
ذرت‌ بو داده,سینما
کشاورزی,گیاه
شاعر,روزنامه‌نگار
آب‌و‌هوا,موج
تمدن,سبک زندگی
برف,یخ
جنگ جهانی دوم,بتهوون
مادربورد,برداصلی
باشگاه,علامت
اسکندرکبیر,فاتح
اپ,کهکشان
رایانش ابری,باران
تلویزیون,بازیگر
دلتا,دریا
نخ,رشته
گذرگاه عابران پیاده,شخص
پروتئین,دستگیره
یوتو,رونالدو
اپل,آیفون
نعناع فلفلی,آدامس
پوستر,کاغذ
یونیسف,ریشه
بیگانه‌هراسی,نژادپرستی
وودی آلن,لنز
لامپ,جن
نیروی دریایی,جزیره
ديوار,قلعه
دایناسور,فیل
برج‌ساعت,سنگ
خاورمیانه,فرات
علف‌زار,چمن‌زار
گیتار,ویولن
دیپلماسی,مذاکره
گرانش,شهاب
آی‌کیو,منسا
پرچم انگلستان,پرچم
زمین‌لرزه,زلزله
دارایی,موجودی کالا
عبری,بیت‌المقدس
ابری,پيش‌‌بینی
واژه‌نامه,دایرةالمعارف
ضرابخانه,موزه
صندلی,چهارپایه
اسپانیایی,رطوبت
قوطی,بطری
مگس,مورچه
اسطوره,طنز
مرکز شهر,اتوبوس
دم,بوئینگ ۷۴۷-۲۰۰
اثر هنری,هنرمند
ناتو,اتحاد
پادشاه,فرمانروا
نواخت,آهنگ
الکساندرفلمینگ,پنی‌سیلین
فلوت,موسیقی
حواصیل خاکستری,دریاچه
گرانروی,شتک
سخت‌افزار,جعبه رایانه
انگشتر,عقد
لاتین,آلمانی
طبقه کارگر,کارخانه
شکسپیر,دیکنز
اسکناس,کشیش
ابزار,شغل
گراز کوتوله,گراز
رای,خروج
ستاره,روشنایی
قزل‌آلا,گیتار
دلار,میلیونر
رقم,عدد
طوفان,پتو
اوباما,کلینتون
نقش مکمل,فیلم
یوونتوس,بایرن‌مونیخ
تغییر اقلیم,بارش
هوش مصنوعی,باتری
شاهکار,مونالیزا
جرم,حمله
تاج‌گذاری,آب
سراینده,کارمند
بازی حذفی,بسکتبال
نیروهای مسلح,دفاع
دریاچه,ابر
صومعه,دوش
زبان مادری,زبان
بندرگاه,لفاف
اهریمن,فرشته
نوشته رمزی,نماد
پردیس دانشگاهی,دانشگاه
رهایی,آزادی
گردباد,طوفان موسمی
راهنما,کتاب راهنما
ابولا,ویروس ابولا
شاهزاده,بیسکویت
قطار,تراموا
اکوسیستم,اقتصاد
ملکه سلطنتی,وزیر شطرنج
طلا,روی
مکان‌نما,چیپس
آمازون,جنگل
تنیس,آمار
بولتسانو,قضیه
ارتفاع,تبدیل
قایق,درخت
تخت‌ پادشاهی,شمشیر
پنبه,ژاکت
گیلاس,توت‌فرنگی
اسلام,قرآن
نئاندرتال,ورزش
خویشاوندسالاری,پادشاه
شخصیت,آدم
تانک,خودرو
عطارد,مشتری
برونشیت,استامینوفن
خون,بدن
اسلام‌هراسی,داعش
قلاب‌دوزی,لباس فرم
هدوپ,صفحه لمسی
سوخت فسیلی,سنگواره
جهش‌یافته,زیست‌جامعه‌شناسی
خواهر,برادر
مداد,داستان
اگزما,درماتیت
امپراطور,فرماندار
تاج‌,کلید
جبر,عمل
پیستون,موتور
بورس تحصیلی,شهریه
کتاب,کتاب خطی
شاه‌پسند,میمونی
سیاهچاله,خلاء
امپراتوری ایران,کورش
سرمقاله,اخبار
دکوراسیون,پاکت نامه
کوسه نهنگ,شاه‌میگو
ذرت,جواری
اختلال دوقطبی,مشکل
اسید,باز
صفر مطلق,بخار
انقلاب سبز,رنگ
سیستم‌عامل,یادگیری عمیق
المپیاد جهانی ریاضی,نظریه
ال‌نینو,خط‌استوا
نشان,شیشه
عمارت,مجسمه ساز
جو,ازن
محافظ,سپر
سکه,پرداخت
جو,مزرعه
راهب,سلیب
ناوچه توپدار,ساحل
سنگ,معدن
افسانه,پند
قهرمان,برنده
تاس,مکعب
مکان‌شناسی,ساختار
نمازخانه,سیم
جریان نقدی,رودخانه
قاتل زنجیره‌ای,قاتل
ماتریس,ملکول
مد,سبک
پرچم‌شناسی,پرچم
پیمان ماستریخت,اروپا
آب‌فشان,چشمه
ساکارز,کربوهیدرات
کنار دریا,ساحل
بازار بورس,بورس اوراق بهادار
سنت,صنایع دستی
رمان,نویسنده
ساندویچ,ساب‌وی
صوت‌شناسی,صدا
شمشیربازی,ژیمناستیک
نویسنده,هدیه
بیشه‌زار,تایگر وودز
ابر,پنجره
جی‌پگ,پی‌دی‌اف
مدیر,رئيس
مالیات,برگزیت
گرده‌افشانی,پرچم
بازی ویدئویی,بازی کامپيوتری
درمان,عمل جراحی
برنج,سیب‌زمینی
یادداشت‌برداری,تکلیف
روباه,سلول خون
سدیم کلرید,نمک
درآمد,کیفیت زندگی
خواست,قصد
قطب‌نما,فیل
دنباله,دوربین
فیلم سینمایی,فیلم
گروهبان,تفنگ
کارخانه,دانه
بستنی,صبحانه
کلید,قفل
تلفن همراه,تلفن
کودکستان,پيش‌دبستان
جهان غرب,وسترن یونیون
جوانه,برگ
باران,تگرگ
خوشحالی,ناراحتی
کرم ابریشم,کرم پیله ساز
موج‌سواری,ورزش آبی
ماشین,کامیون
غذا,برنامه
داستان مصور,کتاب کامیک
مار,مارمولک
سیب,گوشی هوشمند
والپیپر,دیواربرگ
سلسیوس,مایکروسافت
کمباین,نیشکر
شلوار جین,زن
ماتریس,بردار
دی‌اکسید کربن,گازکربنیک
مربی,بازیکن
سنگ,چوب
شارژر,دیسک
نسخه خطی,مقاله
جیمیل,یاهو
خازن,دیود
فساد,کلاه‌برداری
کوکاکولا,کوکا
افلاطون,ارسطو
جنگ سرد,شوروی
سرشلنگ,مایع
صداشناسی,صفحه نمایش
زارا,ساق‌پوش
فوتبال آمریکایی,فوتبال
بیمارگر,پاتوژن
جمهوری,دوک
توپ,کره
موتزارت,جنگ ستارگان
نقاب,مهمانی
اتومبیل‌دزدی بزرگ,جی‌تی‌ای
بزرگراه,جاده
واکنش زنجیره‌ای,ترمودینامیک
تصویرسازی,تاول
انسان‌شناسی,باستان‌شناسی
دل,دینگل
آبمیوه,قاشق
فایزر,دارو
کامیون,بسته
گیرنده,ملکول پروتئین
گوگل‌درایو,راننده
میلیاردر,بی‌خانمان
بخش,فصل
بینهایت,صفر
خدمتکار,غلام
پسوند,وند
گرمایش جهانی,گرما
هورمون رشد,سوماتوتروپین
آسمان,خواب
قیمت پیشنهادی خرید,لندن
کود,رشد
برچسب,موضوع
شکارچی,صورت فلکی
نیچه,چلسی
احترام متقابل,رقابت
شاخه,بازو
قربانی,تلفن
انحراف معیار,تجمیع
بهمن,برف
معلم,دانش‌آموز
گاو,ماست
تبعیض جنسیتی,جنسیت‌زدگی
قطب جنوب,رقص
دادستان,وکیل
راکت,توپ
وام,قرض
پرسپکتیو,فاصله
فدرر,دیلن
وکیل,نمایشگاه
امید به زندگی,شاخص آماری
غشای سلول,پروویروس
اتحادیه اروپا,مسکو
جهان,آسیا
پینت,فتوشاپ
مجلس سنا,قانون اساسی
جعفری,مافین
ذهن,مفز
مرسدس,اوپل
چکش,دندان
رنسانس,عصر نوزایی
دامن,ساعت
اپرا,سینما
معلم,آموزگار
خورشید,کابل
بحران اقتصادی,تولید ناخالص داخلی
سزار,قیصر
بیمار,جلسه
رفتارگرایی,درمان
امپراتور,قانون اساسی
ریاضی‌دان,نمایش
آنتروپی,اطلاعات
گلاب,روغن گل‌سرخ
مرکبات,گریپ‌فروت
ملکه ویکتوریا,انگلیس
بازی‌های المپیک,روح
اسقف,مسلمان
مرد,مظنون
شهاب‌سنگ,زمین
سمبل,نشانه
انسان‌شناسی,نیویورک
غروب,میز
شهرک,شهر
ژاکت,آب‌ معدنی
طبیعت,گیاه
رویه,کامپایلر
همدان,رم
چتر,بخاری
افتخار,عزت
نشان افتخار,کرامت
کی‌اف‌سی,مک‌دونالد
جوی‌استیک,رادار
باسماتی,برنج ژاسمین
مدال,کفش ورزشی
قانون,استخر
منبع,جعبه
تئاتر,باتری
گیا,مرورگر وب
لباس,ژاکت
شعر,وزن
پیامبر,کشیش
اسکار,استادیوم
تخته نرد,گو
پروانه,رز
حصار,پرش
پوچ‌گرایی,فیلم
سیارک,ستاره
شورش,نقاشی
لباس زیر,بدن
بوئینگ,هواپیما
تک‌جلوه,اجرا
نیم‌سال تحصیلی,ترم‌تحصیلی
پرتقال,مرکبات
یخچال طبیعی,گرمایش جهانی
تونل,مسیر